date,o0900,p10,c1330,hi_am,lo_am,pm_drift,full,sox,yr,pnl
2009-09-09,7313.99,7298.43,7250.72,7363.11,7290.27,-47.710000000000036,-63.26999999999953,0.02253502937947971,2009,47.710000000000036
2009-09-10,7250.72,7358.13,7332.08,7507.49,7250.72,-26.050000000000182,81.35999999999967,0.010766607729224553,2009,81.35999999999967
2009-09-11,7332.08,7340.17,7337.14,7348.63,7295.85,-3.0299999999997453,5.0600000000004,0.017774029300596572,2009,5.0600000000004
2009-09-14,7337.14,7233.12,7256.95,7350.92,7218.18,23.829999999999927,-80.19000000000051,-0.014056841200662862,2009,80.19000000000051
2009-09-15,7256.95,7261.21,7346.26,7294.65,7252.33,85.05000000000018,89.3100000000004,0.004544888556842208,2009,89.3100000000004
2009-09-16,7346.26,7433.99,7440.24,7445.49,7346.26,6.25,93.97999999999956,0.00861481251936791,2009,93.97999999999956
2009-09-17,7440.24,7508.26,7477.3,7513.73,7440.24,-30.960000000000036,37.0600000000004,0.004178444144033344,2009,37.0600000000004
2009-09-18,7477.3,7469.95,7526.55,7482.87,7434.83,56.600000000000364,49.25,-0.016858401664422984,2009,-49.25
2009-09-21,7526.55,7481.98,7502.46,7558.88,7439.03,20.480000000000473,-24.090000000000146,0.016027137210967046,2009,-24.090000000000146
2009-09-23,7469.03,7487.53,7376.76,7534.66,7469.03,-110.76999999999953,-92.26999999999953,0.008976715686274561,2009,-92.26999999999953
2009-09-24,7376.76,7367.65,7324.22,7386.99,7346.64,-43.42999999999938,-52.539999999999964,0.005222724926365663,2009,-52.539999999999964
2009-09-29,7284.61,7390.92,7429.98,7416.32,7284.61,39.05999999999949,145.3699999999999,0.020619841146238826,2009,-39.05999999999949
2009-09-30,7429.98,7517.19,7509.17,7508.65,7429.98,-8.019999999999527,79.19000000000051,-0.014252143925290728,2009,-79.19000000000051
2009-10-01,7509.17,7544.9,7545.29,7599.62,7509.17,0.3900000000003274,36.11999999999989,0.00851393188854499,2009,36.11999999999989
2009-10-05,7411.88,7402.88,7437.98,7434.02,7381.02,35.099999999999454,26.099999999999454,-0.01090428105945751,2009,-26.099999999999454
2009-10-06,7437.98,7512.98,7536.05,7506.37,7437.98,23.07000000000062,98.07000000000062,0.021200952412016028,2009,-23.07000000000062
2009-10-07,7536.05,7587.08,7608.66,7619.03,7536.05,21.579999999999927,72.60999999999967,0.020728863904947437,2009,-21.579999999999927
2009-10-12,7571.96,7582.28,7599.88,7620.17,7559.4,17.600000000000364,27.920000000000073,0.03284186546858181,2009,-17.600000000000364
2009-10-13,7599.88,7516.41,7596.6,7599.88,7471.53,80.19000000000051,-3.2799999999997453,0.013999509863987125,2009,-3.2799999999997453
2009-10-15,7695.75,7762.02,7710.4,7780.66,7695.75,-51.6200000000008,14.649999999999636,0.013666666666666716,2009,14.649999999999636
2009-10-16,7710.4,7705.45,7715.1,7738.04,7694.07,9.650000000000546,4.700000000000728,-0.014140085498191457,2009,-4.700000000000728
2009-10-20,7751.32,7779.43,7753.52,7811.92,7751.32,-25.909999999999854,2.2000000000007276,0.014806554533345784,2009,2.2000000000007276
2009-10-22,7701.5,7653.95,7607.93,7710.82,7644.69,-46.01999999999953,-93.56999999999971,-0.012849144919998778,2009,93.56999999999971
2009-10-23,7607.93,7626.67,7649.28,7657.65,7607.93,22.609999999999673,41.349999999999454,0.012923420212600956,2009,41.349999999999454
2009-10-27,7668.4,7625.36,7657.34,7668.4,7617.77,31.980000000000473,-11.05999999999949,0.0032552700609966845,2009,-11.05999999999949
2009-10-30,7355.69,7390.22,7340.08,7428.72,7355.69,-50.14000000000033,-15.609999999999673,0.021543985637342944,2009,50.14000000000033
2009-11-03,7335.18,7345.78,7322.93,7363.44,7321.65,-22.849999999999454,-12.25,0.0025622871784498624,2009,-12.25
2009-11-04,7322.93,7405.37,7467.04,7412.89,7322.93,61.67000000000007,144.10999999999967,-0.013081346470726674,2009,-144.10999999999967
2009-11-05,7467.04,7463.92,7417.46,7471.86,7433.22,-46.460000000000036,-49.57999999999993,0.006235518604334134,2009,-49.57999999999993
2009-11-06,7417.46,7497.7,7463.05,7521.01,7417.46,-34.649999999999636,45.590000000000146,0.025904981206190003,2009,34.649999999999636
2009-11-10,7536.7,7592.31,7593.49,7614.54,7536.7,1.1799999999993815,56.789999999999964,0.03148197242841988,2009,-1.1799999999993815
2009-11-11,7593.49,7557.61,7668.06,7611.43,7555.83,110.45000000000073,74.57000000000062,0.000835314528047304,2009,74.57000000000062
2009-11-12,7668.06,7698.46,7670.93,7709.89,7668.06,-27.529999999999745,2.869999999999891,0.013610683102208476,2009,2.869999999999891
2009-11-16,7665.63,7750.7,7792.68,7764.6,7665.63,41.98000000000047,127.05000000000018,0.011146496815286566,2009,127.05000000000018
2009-11-17,7792.68,7805.02,7733.21,7875.48,7780.01,-71.8100000000004,-59.470000000000255,0.019937007874015755,2009,-59.470000000000255
2009-11-18,7733.21,7771.07,7766.69,7778.86,7733.21,-4.380000000000109,33.47999999999956,0.0014513788098695635,2009,33.47999999999956
2009-11-24,7687.15,7711.2,7714.56,7735.91,7687.15,3.360000000000582,27.410000000000764,0.011527096795142189,2009,27.410000000000764
2009-11-25,7714.56,7762.99,7756.31,7784.28,7714.56,-6.6799999999993815,41.75,0.0031458654340010828,2009,41.75
2009-11-26,7756.31,7788.25,7739.16,7818.0,7756.31,-49.090000000000146,-17.150000000000546,0.008287999999999851,2009,-17.150000000000546
2009-11-27,7739.16,7586.42,7490.91,7739.16,7564.32,-95.51000000000022,-248.25,0.008287999999999851,2009,-248.25
